昵称,是否认证,是否会员,性别,地区,微博数,关注数,粉丝数,分组数
大连户口,1,1,男,辽宁,69315,839,278602,2
达州发布,1,1,男,四川,42657,360,436001,2
河北日报,1,1,女,河北,73338,1671,3296044,1
贞丰检察,1,1,男,贵州,18558,1089,15099,5
奇怪太阳也不公休,1,1,女,上海,2990,569,11639,1
青年河北,1,0,女,其他,8349,175,36747,1
腾讯微视,1,1,女,广东,16090,1435,1943850,1
保定发布,1,0,男,河北,12826,1410,377594,4
一起挖藕嘛 男/山东         ,0,0,雕,乐与,86,143,77,1
石家庄新闻广播,1,1,男,河北,41203,452,744179,1
淮安发布,1,1,男,江苏,41496,421,547395,1
浙江新闻频道,1,1,男,其他,22663,450,1133799,1
清风一笑9816,1,1,男,北京,11380,3856,29687,1
石家庄微博头条,1,1,女,河北,77755,3162,516865,1
羊城晚报金羊网,1,0,女,广东,37318,1348,262636,1
啾咪啾咪小攀,1,0,女,河北,180,185,98,1
中国青年网,1,1,女,北京,73741,3477,12586226,2
中国日报,1,1,男,北京,138969,770,60096138,2
人民雄安网,1,0,男,河北,7654,42,17099,1
石家庄房天下,1,0,男,河北,8322,456,18834,1
天目新闻,1,1,男,浙江,1246,296,8745,1
河北交警微发布,1,0,女,河北,41981,383,430640,2
石家庄新闻网官方,1,0,男,河北,3278,169,7055,6
半岛都市报,1,1,男,山东,140191,735,10973037,2
陌上归尘莹,0,1,女,河北,64,145,36,1
国家应急广播,1,1,男,北京,104358,390,2491003,1
陇南两当县法院,1,0,男,甘肃,44465,1264,7466,2
北京电视台,1,1,男,北京,43502,349,6806212,1
河北长安网,1,0,男,河北,28476,222,68823,1
牛城晚报,1,0,男,河北,25157,1266,268163,1
大庆网警巡查执法,1,1,男,黑龙,13112,1065,16878,2
石家庄同城,1,0,男,北京,18550,591,647895,1
燕赵都市报,1,1,男,河北,47386,1745,10241109,2
石家庄共青团,1,1,男,河北,64644,1111,2206149,2
河北新闻网冀看点,1,1,男,河北,52524,1004,260304,1
石家庄音乐广播,1,0,女,河北,9997,705,239000,1
新浪河北,1,1,男,河北,61256,2830,1292061,1
邢台新闻快报栏目,1,0,男,河北,7923,137,144053,1
北京时间,1,1,女,北京,17050,473,601060,1
香菇肉三鲜大饺子 男/辽宁         ,0,0,如,事常,608,258,67,1
眉山网,1,0,男,四川,29690,1534,169638,2
石家庄地铁君,1,1,男,河北,37478,899,752630,6
石家庄日报客户端,1,0,男,河北,1691,61,2874,1
庄里微,1,1,男,河北,144610,4091,2089078,1
山东省人民检察院,1,0,男,其他,27209,1288,746624,5
地球的倒数第二个夜晚,0,1,男,其他,755,1040,85,1
重庆日报,1,1,男,重庆,70731,633,6098683,1
涵渋渋___wh,0,1,女,北京,980,446,200,2
石家庄广播电视台,1,0,男,河北,18381,171,73509,2
秦州检察,1,1,女,甘肃,18040,417,1156,1
时代周报,1,0,男,广东,20665,624,926756,1
无线石家庄官微,1,0,男,河北,19495,172,4576,2
人民网河北,1,0,女,其他,1328,6,1392,1
山东交警,1,0,男,山东,63937,1402,2847398,2
泰山晚报,1,0,男,山东,65316,574,2220735,3
财经网,1,1,男,北京,196623,955,39166300,1
燕赵晚报,1,1,男,河北,80901,940,3719215,3
厦门网,1,0,女,福建,113569,516,273238,1
大石家庄,1,1,男,河北,32812,1159,157305,1
河北省人民政府,1,0,男,河北,3390,69,63815,1
石家庄互联网举报中心,1,1,女,其他,2359,267,13605,1
河北新闻网,1,0,男,河北,57605,651,3451464,1
生命时报,1,1,女,北京,64950,496,7477796,1
河北广播电视台,1,1,男,河北,26793,1123,4323796,3
北京日报,1,1,男,北京,88666,1364,9160879,1
河北新闻联播,1,0,男,河北,27375,177,327055,2
保健时报,1,0,男,北京,4311,239,57637,1
健康河北官微,1,0,男,河北,10831,271,418408,1
河南新闻广播,1,1,男,河南,159060,445,5807586,1
邢台网,1,1,男,河北,16221,116,148363,1
晨晓同学,1,1,男,河北,36411,1312,1324136,4
一点资讯河北,1,0,男,河北,12408,1142,127153,1
河北微吧,1,1,男,河北,33167,2237,486105,1
天津日报,1,1,男,天津,111556,959,1650229,1
天津一中院,1,0,男,天津,6607,29,399568,1
文明大兴,1,1,男,北京,37403,483,9103,2
满腔热情55 男/广东         ,0,0,Q,10,25295,78,1054,1
公益人-猎豹,1,1,男,河北,8815,2060,11478,1
CUMT信控学院,1,0,女,江苏,4523,379,2886,2
数码影视迷,1,1,男,广东,2732,1399,1917,1
吉林交通广播,1,1,男,吉林,72993,500,181524,1
昆明日报掌上春城,1,0,男,云南,10873,443,19204,2
红塔区发布,1,0,男,云南,8077,62,2725,2
新鲜事儿不思议,1,1,男,北京,9546,119,173972,1
念兮京京 男/河北         ,0,0,我,兮♀,19372,235,1547,1
百姓一时间,1,0,女,青海,27678,150,461132,2
千龙网中国首都网,1,1,男,北京,89549,2898,5565648,1
青色天馬,1,0,男,北京,6787,1126,1471,1
